,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017
0,China,CHN,6087.164527421237,7551.500425597772,8532.230724141757,9570.405758739791,10475.682846632159,11061.552790044158,11233.277146512153,12310.408652423508
1,Germany,DEU,3396.354075663728,3744.408602683935,3527.3449441398257,3732.7434462189185,3883.920155292258,3360.549973888579,3466.7900650118268,3665.8041208353
2,France,FRA,2642.609548930356,2861.408170264605,2683.8252250926284,2811.0777257035893,2852.1657606302665,2438.2078962518412,2471.2856070817165,2595.1510451976515
3,United Kingdom,GBR,2475.244321361113,2659.310054646231,2704.8876783867217,2786.0228727068147,3063.8032402080053,2928.5910020025135,2694.283209613294,2666.2291799580075
4,Iran,IRN,486.8076153261469,580.764902917439,598.8684609128467,460.29314932432555,432.6870361778182,384.95147969742004,417.9835782314168,445.3452821226815
5,Israel,ISR,233.99567619467902,261.4686342311998,257.18014703214214,292.6361640006373,309.5584547188664,299.81312121264125,318.95059901750585,353.2534069549699
6,Italy,ITA,2134.0178432471557,2291.991045770294,2087.0770324351492,2141.315327318207,2159.133919743765,1835.8992373200383,1875.797463583867,1961.7961973543565
7,South Korea,KOR,1144.066965324494,1253.223044718987,1278.4276343425859,1370.7951999761792,1484.3182196336272,1465.7732455471496,1500.1115962363715,1623.9014968357908
8,Russia,RUS,1524.9174684420066,2045.925608274369,2208.2957736431495,2292.4732466210808,2059.2419654908254,1363.481063446766,1276.7869792218135,1574.1993870708982
9,Saudi Arabia,SAU,528.2072,671.2388401066667,735.97484336,746.6471274133334,756.3503473333335,654.26990288,644.93554144,688.5861333333334
