,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017
0,China,CHN,1337.705,1344.13,1350.695,1357.38,1364.27,1371.22,1378.665,1386.395
1,Germany,DEU,81.77693,80.274983,80.425823,80.645605,80.9825,81.686611,82.348669,82.657002
2,France,FRA,65.027507,65.34278,65.659809,65.998687,66.312067,66.548272,66.724104,66.864379
3,United Kingdom,GBR,62.766365,63.25881,63.700215,64.128273,64.602298,65.116219,65.611593,66.058859
4,Iran,IRN,73.762519,74.634956,75.539862,76.481943,77.465753,78.492215,79.564016,80.673951
5,Israel,ISR,7.6236,7.7658,7.9105,8.0595,8.2157,8.3801,8.546,8.7133
6,Italy,ITA,59.277417,59.379449,59.539717,60.233948,60.78914,60.730582,60.627498,60.536709
7,South Korea,KOR,49.554112,49.936638,50.199853,50.428893,50.746659,51.014947,51.217803,51.361911
8,Russia,RUS,142.849468,142.960908,143.201721,143.506995,143.819666,144.09687,144.342396,144.49674
9,Saudi Arabia,SAU,27.421461,28.267685,29.155187,30.052518,30.916994,31.717667,32.442572,33.099147
